id_analyse,nom_analyse,nom_prenom,nageur_sexe,competition_nom,mois_annee,distance_course,style_nage,round,temps_final,temps_reaction,temps_vol,temps_depart,DISTANCE_FIN_COULEE,LONGUEUR,TEMPS_FIN_COULEE,TEMPS_DE_PASSAGE
10520722,200 4 Nages Series CF 2020 SAINT-RAPHAEL,DAUBA Camille,f,CF 2020 SAINT-RAPHAEL,2020-12,200,4 Nages,Series,135.9,0.71,0.99,1.7,12.97;58.99;108.26;156.84,0;50;100;150,6.08;34.67;70.61;107.37,29.17;64.89;103.24;135.9
10520734,200 Brasse Series CF 2020 SAINT-RAPHAEL,BIDARD Clement,m,CF 2020 SAINT-RAPHAEL,2020-12,200,Brasse,Series,135.9,0.66,1.11,1.77,15.30;60.64;110.22;160.01,0;50;100;150,7.32;37.42;71.96;107.27,30.83;65.32;101.11;135.9
763194,200 Dos Series GOLDEN FFN TOUR NICE,DURIEUX Damien,m,GOLDEN FFN TOUR NICE,2016-01,200,Dos,Series,135.9,0.7,0.75,1.45,13.40;57.95;107.61;156.42,0;50;100;150,7.28;36.08;70.57;105.05,31.68;66.46;101.68;135.9
76661,200 Dos Series CE 2016 LONDRES ,GHEORGHIU Camille,f,CE 2016 LONDRES ,2016-05,200,Dos,Series,135.9,0.7,0.84,1.54,12.90;59.63;109.55;159.35,0;50;100;150,7.05;37.38;71.73;106.89,31.89;66.29;101.53;135.9
761742,200 Dos Series Golden FFN Tour Marseille,GHEORGHIU Camille,f,Golden FFN Tour Marseille,2016-03,200,Dos,Series,135.91,0.7,0.91,1.6099999999999999,14.81;60.38;109.51;158.83,0;50;100;150,7.83;38.02;71.55;106.57,31.8;66.11;101.21;135.91
10520744,200 Brasse Series CF 2020 SAINT-RAPHAEL,MARC Antoine,m,CF 2020 SAINT-RAPHAEL,2020-12,200,Brasse,Series,135.93,0.67,1.03,1.7000000000000002,14.39;59.97;109.22;159.29,0;50;100;150,6.87;36.38;71.18;107.18,30.2;65.02;101.24;135.93
10522699,200 Dos Series CF 2023 RENNES,MAHIEU Pauline,f,CF 2023 RENNES,2023-06,200,Dos,Series,135.94,0.68,0.74,1.42,13.92;59.67;108.56;157.03,0;50;100;150,7.08;35.76;68.16;103.26,30.8;63.76;99.59;135.94
10515404,200 Dos Series CF 2022 LIMOGES,MAHIEU Pauline,f,CF 2022 LIMOGES,2022-04,200,Dos,Series,135.95,0.63,0.7,1.33,13.14;59.03;107.96;156.50,0;50;100;150,6.7;35.81;68.18;102.86,31.27;64.16;99.58;135.95
10521574,200 4 Nages Series GFT 2023 NICE,BONNET Charlotte,f,GFT 2023 NICE,2023-03,200,4 Nages,Series,135.95,0.72,0.96,1.68,11.94;58.26;108.81;156.07,0;50;100;150,5.51;33.96;70.03;107.65,28.87;64.09;104.05;135.95
10516248,200 4 Nages Series CF 2021 CHARTRES,DAUBA Camille,f,CF 2021 CHARTRES,2021-06,200,4 Nages,Series,135.97,0.71,0.98,1.69,12.28;59.69;108.93;157.25,0;50;100;150,5.88;34.83;70.24;107.46,28.74;64.45;103.26;135.97
10518851,200 Dos Finale GFT 2021 MARSEILLE,PODEVIN Anais,f,GFT 2021 MARSEILLE,2021-03,200,Dos,Finale,135.97,0.5,0.62,1.12,12.40;57.07;105.76;156.21,0;50;100;150,6.58;34.9;69.04;104.69,31.64;66.4;101.61;135.97
762812,200 Dos Finale CF 2016 MONTPELLIER,POU Lisa,f,CF 2016 MONTPELLIER,2016-03,200,Dos,Finale,135.97,0.75,0.77,1.52,9.31;56.69;106.23;155.47,0;50;100;150,5.49;36.39;70.17;104.45,33.11;67.03;101.7;135.97
76243,200 4 Nages Finale CF 2015 LIMOGES,LESAFFRE Fantine,f,CF 2015 LIMOGES,2015-03,200,4 Nages,Finale,136.0,0.79,1.11,1.9000000000000001,10.57;57.00;108.45;156.45,0;50;100;150,5.35;34.19;71.11;107.83,29.52;64.7;103.54;136
10515643,200 4 Nages Series CF 2022 LIMOGES,DUHAMEL Cyrielle,f,CF 2022 LIMOGES,2022-04,200,4 Nages,Series,136.01,0.69,0.97,1.66,11.52;58.10;107.74;155.83,0;50;100;150,5.57;34.08;68.35;106.21,29.1;63.31;102.52;136.01
